identifier,direction,start_index,end_index,price_eur_mw_h,cap_max_mw,block_hours,coverage_hours,committed_mw,capacity_revenue_eur
afrr:2025-01-14:12-16:up,up,1296,1312,16.86,1.0,4.0,4.0,0.6504676722241184,43.86753981479454
afrr:2025-01-14:16-20:up,up,1312,1328,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-14:20-24:up,up,1328,1344,16.86,1.0,4.0,4.0,0.7759053805439946,52.327058863887
afrr:2025-01-15:0-4:up,up,1344,1360,16.86,1.0,4.0,4.0,0.9340571428571427,62.9928137142857
afrr:2025-01-15:4-8:up,up,1360,1376,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-15:8-12:up,up,1376,1392,16.86,1.0,4.0,4.0,0.9663499999999999,65.170644
afrr:2025-01-15:12-16:up,up,1392,1408,16.86,1.0,4.0,4.0,0.8107749999999997,54.67866599999998
afrr:2025-01-15:16-20:up,up,1408,1424,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-15:20-24:up,up,1424,1440,16.86,1.0,4.0,4.0,0.6981815013050413,47.08536044801198
afrr:2025-01-16:0-4:up,up,1440,1456,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-16:4-8:up,up,1456,1472,16.86,1.0,4.0,4.0,0.86455,58.305252
afrr:2025-01-16:8-12:up,up,1472,1488,16.86,1.0,4.0,4.0,0.9844571428571428,66.39178971428571
afrr:2025-01-16:12-16:up,up,1488,1504,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-16:16-20:up,up,1504,1520,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-16:20-24:up,up,1520,1536,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-17:0-4:up,up,1536,1552,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-17:4-8:up,up,1552,1568,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-17:8-12:up,up,1568,1584,16.86,1.0,4.0,4.0,0.9375,63.224999999999994
afrr:2025-01-17:12-16:up,up,1584,1600,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-17:16-20:up,up,1600,1616,16.86,1.0,4.0,4.0,0.9085000000000001,61.26924
afrr:2025-01-17:20-24:up,up,1616,1632,16.86,1.0,4.0,4.0,0.43218750000000017,29.14672500000001
afrr:2025-01-18:0-4:up,up,1632,1648,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-18:4-8:up,up,1648,1664,16.86,1.0,4.0,4.0,0.6735466666666666,45.4239872
afrr:2025-01-18:8-12:up,up,1664,1680,16.86,1.0,4.0,4.0,1.0,67.44
afrr:2025-01-18:12-16:up,up,1680,1696,16.86,1.0,4.0,4.0,0.95425,64.35462
afrr:2025-01-18:16-20:up,up,1696,1712,16.86,1.0,4.0,4.0,0.962828125,64.93312875
