identifier,direction,start_index,end_index,price_eur_mw_h,cap_max_mw,block_hours,coverage_hours,committed_mw,capacity_revenue_eur
mfrr:2025-10-17:20-24:up,up,27820,27836,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-18:8-12:up,up,27868,27884,8.684999999999999,1.0,4.0,4.0,0.9375,32.568749999999994
mfrr:2025-10-18:12-16:up,up,27884,27900,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-18:16-20:up,up,27900,27916,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-18:20-24:up,up,27916,27932,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-19:8-12:up,up,27964,27980,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-19:12-16:up,up,27980,27996,8.684999999999999,1.0,4.0,4.0,0.7592773018560297,26.377293466478466
mfrr:2025-10-19:16-20:up,up,27996,28012,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-19:20-24:up,up,28012,28028,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-20:8-12:up,up,28060,28076,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-20:12-16:up,up,28076,28092,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-20:16-20:up,up,28092,28108,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-20:20-24:up,up,28108,28124,8.684999999999999,1.0,4.0,4.0,0.9375,32.568749999999994
mfrr:2025-10-21:8-12:up,up,28156,28172,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-21:12-16:up,up,28172,28188,8.684999999999999,1.0,4.0,4.0,0.9843922476718725,34.19778668412084
mfrr:2025-10-21:16-20:up,up,28188,28204,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-21:20-24:up,up,28204,28220,8.684999999999999,1.0,4.0,4.0,0.875,30.397499999999994
mfrr:2025-10-22:8-12:up,up,28252,28268,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
mfrr:2025-10-22:12-16:up,up,28268,28284,8.684999999999999,1.0,4.0,4.0,1.0,34.739999999999995
